location;lat;lon
11;50.95754595;6.891442861965928
14;50.96321105;6.98566336945632
16;50.9366028;6.9368483
17;50.9363735;6.9359851
23;51.03537;6.892049121238911
24;51.03537;6.892049121238911
25;50.9639129;6.9768709
26;50.9639129;6.9768709
29;50.9691898;7.0417215
30;50.8491543;6.9753497
31;50.9691898;7.0417215
33;50.9291602;7.0594984
34;50.9098693;6.941747
35;50.9006829;6.9548551
38;50.9561167;6.8801018
42;50.94790635;6.941059308417779
43;50.955242;7.0152376
44;50.955242;7.0152376
49;50.958512;6.9243939
50;50.958512;6.9243939
53;50.969410499999995;6.932475826520788
54;50.969410499999995;6.932475826520788
55;50.8954077;7.078521
56;50.8954077;7.078521
57;50.9047384;7.0547855
58;50.9047384;7.0547855
60;50.94790635;6.941059308417779
61;50.94790635;6.941059308417779
62;50.94790635;6.941059308417779
63;50.951697;6.9819528
64;50.951697;6.9819528
5429;50.8588539;7.0854972
5430;50.8588539;7.0854972
6095;50.98167455;7.083584797677654
6096;50.98167455;7.083584797677654
6097;50.9898292;6.9627066
6098;50.9898292;6.9627066
6099;50.9284744;7.099784668081636
6100;50.9284744;7.099784668081636
6101;50.9691898;7.0417215
6102;50.9691898;7.0417215
6103;50.9365109;6.8991826
6104;50.9365109;6.8991826
6107;50.9284744;7.099784668081636
6108;50.9284744;7.099784668081636
6109;50.9863925;6.9893266
6110;50.9863925;6.9893266
6111;50.9317526;6.8551691
6112;50.9317526;6.8551691
6113;50.98864895;6.935727475616647
6114;50.9317526;6.8551691
6115;50.9317526;6.8551691
6116;50.9561167;6.8801018
6117;50.9561167;6.8801018
6118;50.955242;7.0152376
6119;50.955242;7.0152376
6120;50.873124;6.9548745
6121;50.873124;6.9548745
6122;50.998412;6.876805
6123;50.998412;6.876805
6124;50.9284744;7.099784668081636
6125;50.9284744;7.099784668081636
6126;50.863301;7.0388781
6127;50.863301;7.0388781
6128;50.9121007;6.988889
6129;50.9121007;6.988889
6130;50.87875;6.981804397809072
6131;50.87875;6.981804397809072
6132;51.0070579;6.8537795
6133;51.0070579;6.8537795
6134;50.998412;6.876805
6135;50.998412;6.876805
6136;50.9504192;7.0485978
6137;50.9504192;7.0485978
6140;50.9014892;6.9774565
6141;50.9014892;6.9774565
6142;50.9014892;6.9774565
6143;50.9014892;6.9774565
6144;51.0202658;6.877775
6145;51.0202658;6.877775
6146;50.9098693;6.941747
6147;50.9098693;6.941747
6148;50.95754595;6.891442861965928
6149;50.95754595;6.891442861965928
6150;51.03968165;6.929720594452618
6151;51.03968165;6.929720594452618
6152;50.9679925;6.887914431752257
6153;50.9679925;6.887914431752257
11;50.95754595;6.891442861965928
14;50.96321105;6.98566336945632
16;50.9366028;6.9368483
17;50.9363735;6.9359851
23;51.03537;6.892049121238911
24;51.03537;6.892049121238911
25;50.9639129;6.9768709
26;50.9639129;6.9768709
29;50.9691898;7.0417215
30;50.8491543;6.9753497
31;50.9691898;7.0417215
33;50.9291602;7.0594984
34;50.9098693;6.941747
35;50.9006829;6.9548551
37;50.9691779;6.9384775
38;50.9561167;6.8801018
43;50.955242;7.0152376
44;50.955242;7.0152376
