location;lat;lon
101;50.9672869;6.9690316
108;50.9504192;7.0485978
114;50.928044549999996;6.928130514523661
119;50.95754595;6.891442861965928
121;50.873124;6.9548745
124;50.9647104;7.042319722198885
125;50.9652192;7.0421616
128;50.9006829;6.9548551
129;50.9006829;6.9548551
131;50.8972015;7.0311515
135;50.95754595;6.891442861965928
137;50.9668722;6.9057465
140;50.9649958;6.8308254
148;50.9898292;6.9627066
153;50.9284744;7.099784668081636
154;50.9284744;7.099784668081636
155;50.9317526;6.8551691
156;50.955242;7.0152376
162;50.8960785;7.0646001
164;50.8809782;7.081889
167;51.00788435;6.873859265838565
170;50.9504192;7.0485978
180;50.9329543;7.0212406
182;50.8490684;7.0116031
183;50.95754595;6.891442861965928
193;51.0446453;6.8308353
199;51.0524189;6.8519422
204;51.0202658;6.877775
205;51.03968165;6.929720594452618
206;50.9691898;7.0417215
209;51.0446453;6.8308353
210;50.9121007;6.988889
211;51.0141911;6.8530852
215;50.9208614;6.9896851
220;50.9898292;6.9627066
229;51.0282478;6.9550176
231;50.925188649999996;6.920023479190044
233;50.9830121;7.0245751
234;50.9830121;7.0245751
236;50.9830121;7.0245751
237;51.0202658;6.877775
238;51.0202658;6.877775
242;50.9639129;6.9768709
244;51.0446453;6.8308353
247;50.9691779;6.9384775
257;50.9973239;6.9137131
259;50.9365109;6.8991826
264;50.9121007;6.988889
270;50.9668722;6.9057465
272;50.9649958;6.8308254
284;50.92560365;7.007675867976797
285;50.92560365;7.007675867976797
288;50.9730394;6.9467311
290;50.9047384;7.0547855
296;50.8491543;6.9753497
299;50.8954077;7.078521
301;50.8962534;7.0973606
304;50.8663752;7.0452848
306;50.8663752;7.0452848
309;50.938184;6.8307918
310;50.938184;6.8307918
320;50.8796113;6.964005
321;50.8839014;6.961861
335;51.0022776;6.8910636
338;50.9444141;7.0755541
342;50.9714602;7.0062125
344;50.873124;6.9548745
345;51.0446453;6.8308353
346;51.0446453;6.8308353
348;50.9603448;7.0030683
362;51.0085973;6.9019033
363;51.0085973;6.9019033
364;50.9898292;6.9627066
365;50.9898292;6.9627066
366;51.0202658;6.877775
367;51.0202658;6.877775
368;50.96657035;7.056132399689373
370;50.9422647;6.953187640262971
371;50.9422647;6.953187640262971
372;50.9898186;6.9613425
373;51.0085973;6.9019033
376;50.9098693;6.941747
377;50.9098693;6.941747
382;50.9658456;6.9997117
388;50.9863925;6.9893266
389;50.9863925;6.9893266
394;50.9679925;6.887914431752257
395;50.95754595;6.891442861965928
397;50.87875;6.981804397809072
398;50.87875;6.981804397809072
401;50.8954077;7.078521
406;50.9359354;6.871246459161802
410;50.9359354;6.871246459161802
411;50.9125211;6.9244836
414;50.9504192;7.0485978
416;50.9191163;7.0982925
417;50.922623200000004;7.097420599999998
428;50.8799229;7.0950744704864315
431;50.978834;7.0029571
432;50.97479515;7.006186231100681
440;50.9658456;6.9997117
441;50.9317526;6.8551691
446;50.9047384;7.0547855
450;50.8766127;7.0219105
457;50.8954077;7.078521
461;50.9313927;7.0457361
462;50.9206018;7.0498108
464;50.9284744;7.099784668081636
470;50.9172423;6.9953739
471;50.918919700000004;6.9896950594094704
476;50.9121007;6.988889
480;50.9337335;6.9361713
490;50.85976075;6.957272606799075
491;50.8597493;6.955706822249679
492;50.8596453;6.956201435145315
493;50.873124;6.9548745
494;50.87549895;6.956679885
501;50.9365109;6.8991826
504;50.9359354;6.871246459161802
517;50.98864895;6.935727475616647
534;50.9668722;6.9057465
544;50.8799229;7.0950744704864315
546;50.94790635;6.941059308417779
548;50.8954077;7.078521
550;50.9500686;6.9573547
553;50.9098693;6.941747
558;50.8588539;7.0854972
560;50.9313927;7.0457361
561;50.9474917;7.077395225259158
564;50.9504192;7.0485978
571;50.955242;7.0152376
576;50.94790635;6.941059308417779
599;50.95754595;6.891442861965928
600;50.9679925;6.887914431752257
609;50.9230549;6.869275
610;50.9359354;6.871246459161802
614;50.9359354;6.871246459161802
627;50.9115264;6.9896921
638;50.8809782;7.081889
648;50.8954077;7.078521
651;50.8972015;7.0311515
652;50.8972015;7.0311515
655;50.9014892;6.9774565
676;50.9217996;6.9036621
679;50.9225596;6.9164012
680;50.9095886;6.9697738
684;50.958132;7.0401306
687;50.9691898;7.0417215
690;50.8777318;7.1232504
707;50.86778175;7.138960985502128
720;50.938184;6.8307918
721;50.87875;6.981804397809072
722;50.9079878;6.9611688
723;50.8809782;7.081889
725;50.961212149999994;6.976483810954964
726;50.98864895;6.935727475616647
727;50.98864895;6.935727475616647
728;50.9365109;6.8991826
746;50.9649958;6.8308254
751;50.9317526;6.8551691
753;50.9110582;6.9692379
754;50.9110582;6.9692379
755;50.9110582;6.9692379
757;50.873124;6.9548745
758;50.873124;6.9548745
760;50.8799229;7.0950744704864315
761;50.8799229;7.0950744704864315
762;50.8799229;7.0950744704864315
763;50.8799229;7.0950744704864315
768;50.94790635;6.941059308417779
779;50.9329543;7.0212406
782;50.9329543;7.0212406
783;50.9098693;6.941747
784;50.9098693;6.941747
785;50.9098693;6.941747
